District,Taluk,Crop,Soil,Irrigation,AgriculturalArea,DroneZone,Latitude,Longitude
Cuddalore,Neyveli,Millet,Red Soil,Tank,36233,Green,11.7089,79.5512
Erode,Sathyamangalam,Paddy,Red Soil,Borewell,77719,Green,11.5250,77.2383
Dindigul,Palani,Sugarcane,Red Loam,Tank,28638,Green,10.4500,77.5200
Tiruchirappalli,Musiri,Cotton,Red Loam,Canal,85047,Outer Yellow,10.9500,78.4500
Namakkal,Senthamangalam,Groundnut,Red Soil,Tank,73418,Green,11.2500,78.1700
Madurai,Peraiyur,Paddy,Alluvial,Canal,80264,Inner Yellow,9.7500,77.8000
Sivaganga,Devakottai,Turmeric,Red Soil,Canal,45540,Green,9.9500,78.8200
Ramanathapuram,Paramakudi,Turmeric,Red Soil,Canal,54816,Green,9.5500,78.5800
Theni,Bodinayakanur,Maize,Black Soil,Borewell,32506,Green,10.0200,77.3500
Nagapattinam,Vedaranyam,Vegetables,Red Soil,Tank,21582,Green,10.3700,79.8500
Villupuram,Sankarapuram,Millet,Red Loam,Canal,73178,Green,11.8300,78.9500
Cuddalore,Kattumannarkoil,Paddy,Black Soil,Borewell,60118,Outer Yellow,11.3300,79.7300
Madurai,Usilampatti,Cotton,Alluvial,Borewell,68191,Inner Yellow,9.9700,77.8000
Krishnagiri,Hosur,Paddy,Alluvial,Borewell,39889,Outer Yellow,12.7200,77.8200
Salem,Attur,Millet,Red Loam,Canal,29100,Green,11.6000,78.6000
Cuddalore,Chidambaram,Groundnut,Alluvial,Canal,71249,Inner Yellow,11.4000,79.7000
Thanjavur,Papanasam,Sugarcane,Red Loam,Tank,73627,Outer Yellow,10.9300,79.2700
Thanjavur,Kumbakonam,Turmeric,Black Soil,Tank,53551,Green,10.9700,79.3800
Theni,Uthamapalayam,Banana,Black Soil,Tank,80380,Green,9.8000,77.3300
Madurai,Usilampatti,Vegetables,Red Loam,Tank,48329,Green,9.9700,77.8000
Thanjavur,Orathanadu,Banana,Alluvial,Borewell,88033,Outer Yellow,10.6200,79.2700
Chennai,Alandur,Urban,Urban,None,902,Red,13.0100,80.2000
Chennai,Alandur,Urban,Urban,None,1036,Red,13.0100,80.2000
Erode,Gobichettipalayam,Paddy,Red Soil,Canal,55957,Inner Yellow,11.4600,77.4500
Dindigul,Nilakottai,Turmeric,Black Soil,Canal,56942,Outer Yellow,10.1700,77.8500
Cuddalore,Neyveli,Maize,Red Loam,Canal,31825,Green,11.6100,79.4800
Virudhunagar,Tiruchuli,Cotton,Red Loam,Borewell,86676,Green,9.5300,78.2300
Chennai,Sholinganallur,Urban,Urban,None,1999,Red,12.9000,80.2200
Namakkal,Kolli Hills,Vegetables,Black Soil,Canal,82161,Inner Yellow,11.2800,78.3300
Ramanathapuram,Kadaladi,Banana,Alluvial,Canal,24447,Green,9.2800,78.5200
Ramanathapuram,Paramakudi,Banana,Red Loam,Canal,80019,Green,9.5500,78.5800
Coimbatore,Sulur,Coconut,Black Soil,Canal,81176,Green,11.0300,77.1300
Villupuram,Kallakurichi,Banana,Alluvial,Tank,69774,Inner Yellow,11.7300,78.9700
Krishnagiri,Pochampalli,Cotton,Red Loam,Tank,72373,Outer Yellow,12.3500,78.3700
Ramanathapuram,Kadaladi,Groundnut,Red Loam,Canal,33850,Green,9.2800,78.5200
Villupuram,Kallakurichi,Cotton,Red Loam,Tank,85458,Green,11.7300,78.9700
Namakkal,Tiruchengode,Maize,Red Soil,Tank,75202,Green,11.3800,77.9000
Theni,Uthamapalayam,Sugarcane,Black Soil,Canal,62820,Green,9.8000,77.3300
Tiruchirappalli,Manapparai,Paddy,Red Soil,Tank,16853,Green,10.6200,78.4200
Salem,Sankari,Vegetables,Black Soil,Tank,31150,Green,11.4800,77.8700
Tirunelveli,Sankarankovil,Coconut,Red Loam,Borewell,16173,Green,9.1700,77.5300
Vellore,Katpadi,Groundnut,Red Loam,Canal,87826,Green,12.9700,79.1300
Krishnagiri,Uthangarai,Coconut,Red Loam,Canal,75513,Green,12.2700,78.5300
Erode,Sathyamangalam,Maize,Alluvial,Tank,43372,Green,11.5250,77.2383
Tiruchirappalli,Srirangam,Coconut,Red Loam,Tank,47997,Outer Yellow,10.8700,78.7000
Dindigul,Nilakottai,Turmeric,Alluvial,Borewell,38180,Inner Yellow,10.1700,77.8500
Thanjavur,Peravurani,Paddy,Red Soil,Canal,79552,Green,10.3000,79.1800
Nagapattinam,Vedaranyam,Paddy,Red Loam,Borewell,69406,Inner Yellow,10.3700,79.8500
Krishnagiri,Pochampalli,Paddy,Red Loam,Borewell,72370,Green,12.3500,78.3700
Dindigul,Oddanchatram,Cotton,Alluvial,Tank,48433,Inner Yellow,10.5000,77.7500
Tiruchirappalli,Manapparai,Banana,Black Soil,Canal,74928,Outer Yellow,10.6200,78.4200
Salem,Attur,Vegetables,Alluvial,Canal,32845,Outer Yellow,11.6000,78.6000
Nagapattinam,Mayiladuthurai,Coconut,Red Loam,Borewell,55844,Inner Yellow,11.1000,79.6500
Theni,Bodinayakanur,Cotton,Alluvial,Canal,38812,Green,10.0200,77.3500
Cuddalore,Panruti,Turmeric,Red Loam,Canal,41870,Inner Yellow,11.7800,79.5500
Ramanathapuram,Kamuthi,Turmeric,Alluvial,Canal,58325,Outer Yellow,9.4000,78.3700
Coimbatore,Mettupalayam,Groundnut,Black Soil,Borewell,71321,Outer Yellow,11.3000,76.9300
Thanjavur,Pattukkottai,Vegetables,Alluvial,Canal,85829,Green,10.4200,79.3200
Tirunelveli,Ambasamudram,Coconut,Black Soil,Tank,76210,Inner Yellow,8.7000,77.4700
Nagapattinam,Vedaranyam,Sugarcane,Black Soil,Canal,18069,Green,10.3700,79.8500
Tirunelveli,Cheranmahadevi,Coconut,Red Soil,Canal,21558,Outer Yellow,8.6800,77.5700
Salem,Mettur,Maize,Black Soil,Borewell,28484,Green,11.8000,77.8000
Cuddalore,Chidambaram,Turmeric,Red Soil,Canal,51959,Green,11.4000,79.7000
Karur,Kulithalai,Turmeric,Red Loam,Borewell,78495,Green,10.9300,78.4200
Thanjavur,Orathanadu,Millet,Alluvial,Tank,81273,Outer Yellow,10.6200,79.2700
Namakkal,Kolli Hills,Millet,Black Soil,Canal,58270,Inner Yellow,11.2800,78.3300
Namakkal,Senthamangalam,Millet,Red Soil,Borewell,15885,Outer Yellow,11.2500,78.1700
Theni,Bodinayakanur,Sugarcane,Black Soil,Canal,41593,Inner Yellow,10.0200,77.3500
Virudhunagar,Sattur,Millet,Alluvial,Canal,80110,Outer Yellow,9.3700,77.9200
Namakkal,Paramathi Velur,Turmeric,Red Soil,Tank,77472,Green,11.2200,78.0200
Namakkal,Paramathi Velur,Banana,Alluvial,Tank,25609,Green,11.2200,78.0200
Coimbatore,Pollachi,Coconut,Red Loam,Tank,48575,Green,10.6700,77.0200
